Country,Country_Code,Year,Population,Unemployment Rate,GNI,GNI (Billions),GNI Per Capita,GDP,GDP (Billions),GDP Growth,Inflation,Revenue,Cash Surplus,Military Spending Percent of GDP,Military Spending,Military Spending (Billions),Military Spending Percent of Central Government
United States,USA,1/1/00,282162411,4,9845288483884.000000,9845.2884838840,34890,9898800000000.000,9898.8000000000000000,4.17,2.16,,,3.05,301697000000.0000000000,301.6970000000,
United States,USA,1/1/01,284968955,4.7,10114387034866.700000,10114.3870348667,35490,10233900000000.000,10233.9000000000000000,1.09,2.27,20.12,0.48,3.06,312743000000.0000000000,312.7430000000,15.63
Canada,CAN,1/1/00,30769700,6.8,680919841818.930000,,22130,724918860682.780,724.9188606827800000,5.23,4.13,20.87,2.23,1.14,12326000000.0000000000,,6.12
Canada,CAN,1/1/01,31081900,7.2,696782478878.050000,,22420,715423553719.010,715.4235537190100000,1.78,1.12,20.38,1.6,1.17,12972000000.0000000000,,6.22
